participant_id,pair_id,trial_id,ref_set_num,ref_set_size,ref_area_multiplier,ref_resulting_area,ref_radius_multiplier,ref_resulting_radius,targ_set_num,targ_set_size,targ_area_multiplier,targ_resulting_area,targ_radius_multiplier,targ_resulting_radius,set_size_ratio,resulting_area_ratio,resulting_radius_ratio
34270,269,34270_269,556,5,1,17792,1,167.8609670050623,1061,10,0.71,10800.519999999999,0.8426149773176358,185.1379338672923,0.5,1.647328091610404,0.9066805678267198
34270,102,34270_102,521,5,1.5,28360.5,1.224744871391589,212.17823863117061,709,7,1,13870,1,175.6280122051119,0.7142857142857143,2.044736842105263,1.208111598868252
34270,405,34270_405,587,5,1,12876,1,142.91021179992185,659,6,0.64,11773.44,0.8,149.8660382497797,0.8333333333333334,1.0936480756686235,0.9535863726625997
34270,397,34270_397,585,5,1.66,18749.7,1.2884098726725126,172.43268875876444,887,8,1,15771,1,200.13496501083154,0.625,1.1888719802168537,0.8615820266560228
34270,110,34270_110,521,5,1,18907,1,173.24280638961798,946,9,0.58,9153.56,0.7615773105863908,161.78725147888946,0.5555555555555556,2.0655351579057766,1.0708062891606962
34270,405,34270_405,587,5,1.6,20601.600000000002,1.2649110640673518,180.76870807392976,659,6,1,18396,1,187.33254781222462,0.8333333333333334,1.1198956294846707,0.9649615626598202
34270,226,34270_226,548,5,1.61,26434.59,1.2688577540449522,204.8075816949025,1079,10,1,15015,1,218.29452625941104,0.5,1.7605454545454546,0.9382167533212387
39840,198,39840_198,544,5,1,19124,1,174.32732998759286,663,6,1.13,13842.499999999998,1.0630145812734648,162.42896646014222,0.8333333333333334,1.381542351453856,1.073252719553383
39840,198,39840_198,544,5,1,19124,1,174.32732998759286,663,6,0.99,12127.5,0.99498743710662,152.0343971730318,0.8333333333333334,1.5769119769119768,1.1466308495253825
39840,338,39840_338,572,5,1,14173,1,150.09726129327478,602,6,0.85,11800.55,0.9219544457292888,149.98295260208718,0.8333333333333334,1.2010457139709592,1.0007621445584611
39840,263,39840_263,556,5,1.11,19749.120000000003,1.0535653752852738,176.85250269843743,989,9,1,15870,1,212.97525746749963,0.5555555555555556,1.2444310018903593,0.8303898997536153
39840,269,39840_269,556,5,1.1,19571.2,1.0488088481701516,176.0540674573072,1061,10,1,15212,1,219.71830414960914,0.5,1.2865632395477256,0.8012717380952915
39840,403,39840_403,586,5,1,14433,1,151.49202325230803,727,7,1.08,12166.2,1.0392304845413265,164.2790980645434,0.7142857142857143,1.1863194752675443,0.9221624968551295
39840,345,39840_345,572,5,1.27,17999.71,1.1269427669584644,169.1510229547307,761,7,1,16808,1,193.35283500811607,0.7142857142857143,1.070901356496906,0.8748308394217779
39840,462,39840_462,599,5,1,13217,1,144.96536663854414,933,9,1.14,11238.119999999999,1.0677078252031311,179.10305856156526,0.5555555555555556,1.1760863916740523,0.8093963766046656
39840,49,39840_49,510,5,1,10695,1,130.39177621420242,1039,10,0.7,8818.599999999999,0.8366600265340756,167.24889357277567,0.5,1.2127775383847779,0.7796271379066824
39840,75,39840_75,516,5,1.29,14448,1.1357816691600546,151.49232741033404,717,7,1,16746,1,192.91168809437366,0.7142857142857143,0.8627731995700466,0.7852936693821424
